Designator,Mid X,Mid Y,Rotation,Layer
A1,112.25,-76.15,0.0,top
C1,130.42,-78.775,180.0,top
C2,129.8,-81.55,180.0,top
C3,125.05,-66.375,270.0,top
C4,129.037,-77.1068,270.0,top
C6,131.67,-56.6,180.0,top
D1,127.237,-59.8868,0.0,top
D2,133.8,-72.25,270.0,top
D3,133.75,-85.8875,270.0,top
D4,133.725,-82.45,270.0,top
D5,133.75,-79.025,270.0,top
J2,131.45,-51.95,180.0,bottom
J3,128.225,-94.4,270.0,top
R1,125.547,-82.5868,180.0,top
R2,132.525,-67.75,0.0,top
R3,125.547,-83.8368,180.0,top
R4,131.825,-75.425,270.0,top
R5,128.36,-61.6,180.0,top
R6,126.31,-61.6,180.0,top
R7,125.225,-94.55,90.0,top
R8,125.2,-91.4,90.0,top
R9,125.35,-87.9,90.0,top
SW1,135.5,-62.2,90.0,top
U1,129.558,-85.5868,0.0,top
U2,127.167,-78.5868,0.0,top
U3,129.05,-69.15,180.0,top
